篇,序號,中文字,中文字部首,影片網址
8,1259,例,9,https://www.youtube.com/watch?v=GCRrwoVnDcA
8,1258,亂,5,https://www.youtube.com/watch?v=Fd9YnIHLf0k
8,1257,歐,76,https://www.youtube.com/watch?v=ERoNqq-NnWo
8,1256,功,19,https://www.youtube.com/watch?v=2pGZVwbvxxg
8,1255,辦,160,https://www.youtube.com/watch?v=4id4-fWPGh8
8,1254,狄,94,https://www.youtube.com/watch?v=JNUWGguZdDM
8,1253,向,30,https://www.youtube.com/watch?v=nddTfiDbE5Y
8,1252,穹,116,https://www.youtube.com/watch?v=O9H2-WofMQM
8,1251,蒼,140,https://www.youtube.com/watch?v=5JaNKfvYURs
8,1250,燔,86,https://www.youtube.com/watch?v=h-XX92JngQQ
8,1249,焰,86,https://www.youtube.com/watch?v=6G-89AM6kNs
8,1248,虐,141,https://www.youtube.com/watch?v=ae3q5QLmqDQ
8,1247,宸,40,https://www.youtube.com/watch?v=smPRSQGTT_Y
8,1246,毒,80,https://www.youtube.com/watch?v=csRN4OAYcX0
8,1245,淫,85,https://www.youtube.com/watch?v=kMxPGI7Kp_I
8,1244,崇,46,https://www.youtube.com/watch?v=1K3aHSKuAYo
8,1243,樞,75,https://www.youtube.com/watch?v=DGbdJeII9Tw
8,1242,墬,32,https://www.youtube.com/watch?v=i6bwUNhYSbY
8,1241,乾,5,https://www.youtube.com/watch?v=YoguzZEYrWU
8,1240,禍,113,https://www.youtube.com/watch?v=HGPSTK101wM
8,1239,司,30,https://www.youtube.com/watch?v=a9UM7L7EY40
8,1238,晨,72,https://www.youtube.com/watch?v=qzZKM9COQAQ
8,1237,牝,93,https://www.youtube.com/watch?v=R8Q2GHO8WAA
8,1236,倫,9,https://www.youtube.com/watch?v=p1_IdhzDJtU
8,1235,瀆,85,https://www.youtube.com/watch?v=s4dwOF3skEY
8,1234,聚,128,https://www.youtube.com/watch?v=Cjxk7HpapL8
8,1233,宜,40,https://www.youtube.com/watch?v=hHVdnxv0aug
8,1232,統,120,https://www.youtube.com/watch?v=jMjJpmqdvTw
8,1231,巢,47,https://www.youtube.com/watch?v=knhySL0yCZg
8,1230,紹,120,https://www.youtube.com/watch?v=6KBMH0panPo
8,1229,祚,113,https://www.youtube.com/watch?v=Xq05Rezughw
8,1228,唐,30,https://www.youtube.com/watch?v=BnhvX91JIr8
8,1227,載,159,https://www.youtube.com/watch?v=3NH_ukPs8xI
8,1226,連,162,https://www.youtube.com/watch?v=xfxc7jV2VBg
8,1225,魯,195,https://www.youtube.com/watch?v=dlO_z75VV5c
8,1224,張,57,https://www.youtube.com/watch?v=YDpuFhS3BS8
8,1223,更,73,https://www.youtube.com/watch?v=nLaULvztlLY
8,1222,合,30,https://www.youtube.com/watch?v=LHG3GkLhzic
8,1221,賢,154,https://www.youtube.com/watch?v=0sD5JMB3QIE
8,1220,魏,194,https://www.youtube.com/watch?v=VfFK1mOEEw0
8,1219,帝,50,https://www.youtube.com/watch?v=eHz8NhUg79E
8,1218,史,30,https://www.youtube.com/watch?v=OwerebYnG54
8,1217,晉,72,https://www.youtube.com/watch?v=W3AJ2nxQytg
8,1216,昌,72,https://www.youtube.com/watch?v=Mw24pkdVPhw
8,1215,偏,9,https://www.youtube.com/watch?v=y2pfIF5Nc_o
8,1214,回,31,https://www.youtube.com/watch?v=ehz2fKqnNqA
8,1213,波,85,https://www.youtube.com/watch?v=1MKhIENY_GM
8,1212,配,164,https://www.youtube.com/watch?v=oUrd2kv_G4M
8,1211,祀,113,https://www.youtube.com/watch?v=myP2O_rwTJk
8,1210,翔,124,https://www.youtube.com/watch?v=M1xEiGcVzeU
8,1209,雛,172,https://www.youtube.com/watch?v=cCEcCL92m8c
8,1208,鳳,196,https://www.youtube.com/watch?v=ez_acL1Xprs
8,1207,躍,157,https://www.youtube.com/watch?v=ZVBry-z0Xrs
8,1206,伏,9,https://www.youtube.com/watch?v=miEQVwgsZ1Q
8,1205,疆,102,https://www.youtube.com/watch?v=FlefpiJ3gNI
8,1204,鉞,167,https://www.youtube.com/watch?v=aCqiTpul1E4
8,1203,仗,9,https://www.youtube.com/watch?v=XfMmx6cIIVY
8,1202,軍,159,https://www.youtube.com/watch?v=aBGlrvpt_Og
8,1201,左,48,https://www.youtube.com/watch?v=Kh1lmd189Mk
8,1200,桓,75,https://www.youtube.com/watch?v=S7U6jz84znY
8,1199,炎,86,https://www.youtube.com/watch?v=LMz_0HvJk9c
8,1198,悖,61,https://www.youtube.com/watch?v=h8uQgV313k0
8,1197,凶,17,https://www.youtube.com/watch?v=ESAZYtyVMts
8,1196,轉,159,https://www.youtube.com/watch?v=SIgHKywXbZY
8,1195,塗,32,https://www.youtube.com/watch?v=hciRo--j3MA
8,1194,梁,75,https://www.youtube.com/watch?v=tooPpUEU4B0
8,1193,陸,170,https://www.youtube.com/watch?v=_sagxV8FO90
8,1192,千,24,https://www.youtube.com/watch?v=22Jvr2qUtJs
8,1191,族,70,https://www.youtube.com/watch?v=3yEnEufd6ME
8,1190,五,7,https://www.youtube.com/watch?v=nz1CKAWknXU
8,1189,姦,38,https://www.youtube.com/watch?v=p_uxi_pqjDE
8,1188,植,75,https://www.youtube.com/watch?v=jsuOFnkba2o
8,1187,園,31,https://www.youtube.com/watch?v=4row7NXC9HU
8,1186,西,146,https://www.youtube.com/watch?v=NjWSogpzAx8
8,1185,弄,55,https://www.youtube.com/watch?v=Ugvsx6Ddxf0
8,1184,臣,131,https://www.youtube.com/watch?v=aHSbB3Z2Fvw
8,1183,刑,18,https://www.youtube.com/watch?v=K2M-lAJpvlk
8,1182,東,75,https://www.youtube.com/watch?v=ffld7Okjl9E
8,1181,幾,52,https://www.youtube.com/watch?v=tEauQaaNYLs
8,1180,先,10,https://www.youtube.com/watch?v=OJOukaMF5BI
8,1179,迷,162,https://www.youtube.com/watch?v=w-AGzA31stA
8,1178,忠,61,https://www.youtube.com/watch?v=bFhK2yD5lUg
8,1177,拳,64,https://www.youtube.com/watch?v=NMtW3ZTj2Hc
8,1176,業,75,https://www.youtube.com/watch?v=4Baw52TJll0
8,1175,嗟,30,https://www.youtube.com/watch?v=uSlqOxCOKeQ
8,1174,何,9,https://www.youtube.com/watch?v=2SC7Hwhop4Q
8,1173,喪,30,https://www.youtube.com/watch?v=1kthGj2_0VA
8,1172,章,180,https://www.youtube.com/watch?v=Ut7X5D61aoU
8,1171,珪,96,https://www.youtube.com/watch?v=n6QooISCtfs
8,1170,壽,33,https://www.youtube.com/watch?v=vh0h8MRVlH4
8,1169,荷,140,https://www.youtube.com/watch?v=LAzvyYrE8bc
8,1168,侯,9,https://www.youtube.com/watch?v=Q78I3C0SuGs
8,1167,偕,9,https://www.youtube.com/watch?v=eqR3tjS3Zdw
8,1166,百,106,https://www.youtube.com/watch?v=s_CcCvexppw
8,1165,漂,85,https://www.youtube.com/watch?v=2h3LbnqnL6A
8,1164,漣,85,https://www.youtube.com/watch?v=gzWPXEAsI94
8,1163,袂,145,https://www.youtube.com/watch?v=4Mr-iytuoz4
8,1162,踣,157,https://www.youtube.com/watch?v=hSlBL0303zU
8,1161,麟,198,https://www.youtube.com/watch?v=mGEtuK47juc
8,1160,祥,113,https://www.youtube.com/watch?v=aCRklNQL7fk
8,1159,茲,140,https://www.youtube.com/watch?v=1ld4OLMyz1k
8,1158,傷,9,https://www.youtube.com/watch?v=UfOveunBEBw
8,1157,秋,115,https://www.youtube.com/watch?v=gXRlpjYZhtk
8,1156,黍,202,https://www.youtube.com/watch?v=WiEr3aZtCDw
8,1155,王,96,https://www.youtube.com/watch?v=Ou8T0KHV0I8
8,1154,況,85,https://www.youtube.com/watch?v=2JbgfszSZVc
8,1153,夷,37,https://www.youtube.com/watch?v=54M0krZq9-A
8,1152,陵,170,https://www.youtube.com/watch?v=BECyR-azHcg
8,1151,已,49,https://www.youtube.com/watch?v=0g3V3ie4_U4
8,1150,綱,120,https://www.youtube.com/watch?v=aM0kzL54NJU
8,1149,周,30,https://www.youtube.com/watch?v=HddusWDi7fE
8,1148,楚,75,https://www.youtube.com/watch?v=LTPWTWchVz4
8,1147,膠,130,https://www.youtube.com/watch?v=bsgCfTkO7ts
8,1146,舟,137,https://www.youtube.com/watch?v=3Yj4sVJ5bAE
8,1145,涇,85,https://www.youtube.com/watch?v=sMXGsmFmGTw
8,1144,宸,40,https://www.youtube.com/watch?v=fY70vKwXMQ8
8,1143,御,60,https://www.youtube.com/watch?v=3Qaglhxu34g
8,1142,方,70,https://www.youtube.com/watch?v=-YVZjM0sR44
8,1141,徐,60,https://www.youtube.com/watch?v=erO4FzXFK4c
8,1140,招,64,https://www.youtube.com/watch?v=yl0bLi6h4pA
8,1139,祈,113,https://www.youtube.com/watch?v=0XAoxQiX33g
8,1138,迹,162,https://www.youtube.com/watch?v=mWiO84KK5wk
8,1137,轍,159,https://www.youtube.com/watch?v=2yJ7BLt2aqU
8,1136,看,109,https://www.youtube.com/watch?v=zlbN5DzB6mA
8,1135,君,30,https://www.youtube.com/watch?v=OiYraLmJ6CI
8,1134,靡,175,https://www.youtube.com/watch?v=DPLQoVWGleg
8,1133,騖,187,https://www.youtube.com/watch?v=23kdiFfmR8k
8,1132,馳,187,https://www.youtube.com/watch?v=gyfPxVC0WtU
8,1131,悟,61,https://www.youtube.com/watch?v=PX1Xj-SGFhw
8,1130,崩,46,https://www.youtube.com/watch?v=2s96D_BkYT0
8,1129,國,31,https://www.youtube.com/watch?v=g-YP62uLgeM
8,1128,傾,9,https://www.youtube.com/watch?v=dHW-OzSW-8Y
8,1127,姿,38,https://www.youtube.com/watch?v=geLYuIsHM3E
8,1126,妍,38,https://www.youtube.com/watch?v=HiCZekFm5D4
8,1125,頤,181,https://www.youtube.com/watch?v=ZXxc_ED9sg8
8,1124,朵,75,https://www.youtube.com/watch?v=lQO6lAM4WEs
8,1123,味,30,https://www.youtube.com/watch?v=7y8pmYoJb64
8,1122,役,60,https://www.youtube.com/watch?v=i-3N1udds5Q
8,1121,受,29,https://www.youtube.com/watch?v=0GUwy64RHtU
8,1120,蕪,140,https://www.youtube.com/watch?v=YGwx92AFS2A
8,1119,胡,130,https://www.youtube.com/watch?v=W2n50jjAFVc
8,1118,臺,133,https://www.youtube.com/watch?v=3Q8dn21ClkY
8,1117,息,61,https://www.youtube.com/watch?v=yKsFr5l14Y0
8,1116,歎,76,https://www.youtube.com/watch?v=PmkpUuzBnd4
8,1115,落,140,https://www.youtube.com/watch?v=zCw4DlNNJIc
8,1114,編,120,https://www.youtube.com/watch?v=hXX10iKFz-I
8,1113,玄,95,https://www.youtube.com/watch?v=li-B1lCNOl4
8,1112,垓,32,https://www.youtube.com/watch?v=Az0hclSRc3c
8,1111,九,5,https://www.youtube.com/watch?v=0nCabCwAxi4
8,1110,燭,86,https://www.youtube.com/watch?v=-ZFDgIZ-vl8
8,1109,暉,72,https://www.youtube.com/watch?v=p0GLsc5AT6Y
8,1108,含,30,https://www.youtube.com/watch?v=48qBVGdjr6k
8,1107,韞,178,https://www.youtube.com/watch?v=IBSAHVlI-mc
8,1106,玉,96,https://www.youtube.com/watch?v=j7kArg_mZo4
8,1105,媚,38,https://www.youtube.com/watch?v=RD-XQPqIjy4
8,1104,藏,140,https://www.youtube.com/watch?v=T-dws9uVNmo
8,1103,違,162,https://www.youtube.com/watch?v=El9wIigXpnQ
8,1102,動,19,https://www.youtube.com/watch?v=biQitOMj3lY
8,1101,元,10,https://www.youtube.com/watch?v=2Gid-1quXAg
8,1100,秉,115,https://www.youtube.com/watch?v=dl8eylP0MD0
8,1099,飛,183,https://www.youtube.com/watch?v=nL7xFawt3OE
8,1098,天,37,https://www.youtube.com/watch?v=_ThbipJRVjw
8,1097,淵,85,https://www.youtube.com/watch?v=RMjiLDAgjrE
8,1096,火,86,https://www.youtube.com/watch?v=Y5RHfUyNdbQ
8,1095,焦,86,https://www.youtube.com/watch?v=i2tUQvqWrSI
8,1094,凝,15,https://www.youtube.com/watch?v=IhgBIP9Go4c
8,1093,入,11,https://www.youtube.com/watch?v=MNGev2Oxey0
8,1092,測,85,https://www.youtube.com/watch?v=o2aTicDEkj0
8,1091,聾,128,https://www.youtube.com/watch?v=lAU5d9bzRfE
8,1090,盲,109,https://www.youtube.com/watch?v=ofPMxF8bZ28
8,1089,幻,52,https://www.youtube.com/watch?v=c85RyDbnQwA
8,1088,死,78,https://www.youtube.com/watch?v=y_aAvUY_LZM
8,1087,沌,85,https://www.youtube.com/watch?v=uQeldHmp2U0
8,1086,混,85,https://www.youtube.com/watch?v=PIpWM8aa4Uk
8,1085,存,39,https://www.youtube.com/watch?v=LYIbUdXTvPI
8,1084,諒,149,https://www.youtube.com/watch?v=V4Ym5s-5A6A
8,1083,際,170,https://www.youtube.com/watch?v=gLGjWrEudwA
8,1082,始,38,https://www.youtube.com/watch?v=huuERGNDcoM
8,1081,升,24,https://www.youtube.com/watch?v=dALVAJ1d6ic
8,1080,掌,64,https://www.youtube.com/watch?v=QaLbUZYzT7g
8,1079,指,64,https://www.youtube.com/watch?v=G_24oRhNuVM
8,1078,極,75,https://www.youtube.com/watch?v=-mNvS3TGwAA
8,1077,重,166,https://www.youtube.com/watch?v=q3T6jjk4Y3Q
8,1076,珍,96,https://www.youtube.com/watch?v=xIWw5DTnHEI
8,1075,罔,122,https://www.youtube.com/watch?v=fIMo5pOVsuc
8,1074,晰,72,https://www.youtube.com/watch?v=7TKvVpNYG2k
8,1073,昭,72,https://www.youtube.com/watch?v=TswUor9yH5A
8,1072,渾,85,https://www.youtube.com/watch?v=ngn3HNoGabI
8,1071,朗,74,https://www.youtube.com/watch?v=4LlkBc4U9f4
8,1070,宣,40,https://www.youtube.com/watch?v=VCfsYdYH8qI
8,1069,圖,31,https://www.youtube.com/watch?v=2bkIYCy_Uwc
8,1068,馬,187,https://www.youtube.com/watch?v=aWDeTcwmkVk
8,1067,窺,116,https://www.youtube.com/watch?v=ROkBIRV_cRw
8,1066,待,60,https://www.youtube.com/watch?v=2Ds9RKzy6Xo
8,1065,日,72,https://www.youtube.com/watch?v=BGXUuLocRvA
8,1064,聖,128,https://www.youtube.com/watch?v=VgS4fMh9HrE
8,1063,皇,106,https://www.youtube.com/watch?v=Li1fg-gkjmQ
8,1062,羲,123,https://www.youtube.com/watch?v=iNr6Tmb_6uM
8,1061,互,7,https://www.youtube.com/watch?v=_qZcAkmpA_4
8,1060,暑,72,https://www.youtube.com/watch?v=dpgRquhjgls
8,1059,停,9,https://www.youtube.com/watch?v=q8BBukYC0m8
8,1058,陽,170,https://www.youtube.com/watch?v=k7GxaETcOmk
8,1057,廣,53,https://www.youtube.com/watch?v=plJK4sjrpdQ
8,1056,旁,70,https://www.youtube.com/watch?v=gSeoZsG2Jlw
8,1055,大,37,https://www.youtube.com/watch?v=locVucTOx_Y
8,1054,昆,72,https://www.youtube.com/watch?v=jyX5JViHWyY
8,1053,云,7,https://www.youtube.com/watch?v=wyke89AqF_I
8,1052,貽,154,https://www.youtube.com/watch?v=mVvIfacm-AQ
8,1051,且,1,https://www.youtube.com/watch?v=CUtdePNNA5o
8,1050,追,162,https://www.youtube.com/watch?v=x5PtTuWWJpk
